indice,fecha_extraccion,titulo_puesto,empresa,ubicacion,url_empleo,modalidad,fecha_publicacion,descripcion_breve,nivel_experiencia,beneficios_ofrecidos
1,2025-06-07,Performance Marketing Manager,Community Phone,Argentina (En remoto),https://www.linkedin.com/jobs/view/4243962703/?eBP=CwEAAAGXSNSs5JxmE-BeHcD1UWgHHcp6MsX4nncUZxsOOxj5JG7-RTPJyEn7FSbh8akZ1ueUpdmAESLaLnJlYtj9t39cWaJGi6JBtISaTLoAyISFjN1Mp88ROqwzs6FVZTKqp2Z-wKUwGD-Cb9nHHZQn8YTpc5vDdm73bQmrtd2jThVsuNHb1i6lXWtEL8UUHp9fnrcvBIV1zFe3ig1QedIiY76aPEknSSnHMhNW-hz_tYq74S1xXCAgsTAA2eyuITpINmWop0kwpwWWbqpXsHEY4ubziJNSBgIPLvqCfJQQDZutkdLV8A_zbJcjHWTmWhXC1cokNm4aDG282VpQaiFdOpw9fGYNPBVRRofjObxNrIlL4jMoW_B5npqmJpfA64WBcvK-qG2ZCdJIaoAlgd7Dh0doXIGDOvJGF_RejBZO9xAP6clninBnw347GsAAX_zeDIfbfg6GbFYEOEq4NbVryxPtGdmi101cb7YWGJCHoxOauSRumsQIQutzEBIHIyFZ&refId=tdwvEkG3CUsXdubAbi1Lmg%3D%3D&trackingId=qNmcZ4uMIDdZC%2FfbU%2FGx3Q%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,"About Us     Community Phone is building the best phone for communities in America. We power your hair salon’s business line, your auto-body shop’s texting and booking, your local government’s operati...",No disponible,No disponible
2,2025-06-07,AI Engineer,CRAFTLabs,Argentina (En remoto),https://www.linkedin.com/jobs/view/4229122142/?eBP=CwEAAAGXSNSs5L3iHtIYatMeHBQypJ0ysSiqmO0Re8RHFLJ6gYBOcK3IO5zrPF860ptPF_VlOvMFHfZ00-VPVhOl5agodgvK54ZXlkKJEYVfTCiNMN45A_tPyN0geol8VzfR2hnBHgQnVOfR8UUY3MJFrJCPeEr-aoU43J4dxhWiA7Asiq_s2bRhAgSP0EjzO8cOj7hF4G5WPjTtrDmPltUtBz-iwQqT5MNXghM5Auka8_fKakOpqPm_010rkD5VsFSsmvDKL-Tc1vQg3TayfI-tekNJnDGbJdFbNNjpygXjtUxHfLpMgjDlxUpK_fGg2pdNU55jGV-BLAg3fpNQF7tIXkOJ5f7s5-AHrfvqSqtNCn2oNF9HU5SgXZ6n_DhNfUzpdt-Cvxr4HbbLGiE4GCrTNpz0gv-I25UgT4gXkInUtJjAlsirNbfEvDm6UUNS3BW899YM4iBy4WX1Kna8yWosTipjvPV8Oy3bSev2ukTIePr7NtN5S7IHlybDmchPXrDHC6fSbP1115o&refId=tdwvEkG3CUsXdubAbi1Lmg%3D%3D&trackingId=WZxwLi52O7K3rpZnvPwIng%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,Who we are  We are software artisans passionate about what we do: help companies build awesome solutions. With an agile process that is built on top of the best engineering practices.  Our team is com...,No disponible,No disponible
3,2025-06-07,Machine Learning Engineer,Sonatafy Technology | Nearshore Software Development,América Latina (En remoto),https://www.linkedin.com/jobs/view/4240741064/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=tdwvEkG3CUsXdubAbi1Lmg%3D%3D&trackingId=xt7VoDEBN8QFZuhaGNzxcw%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,"Sonatafy Technology, headquartered in Scottsdale, Arizona, is an award-winning nearshore software development company with a strong reputation. They have a dedicated in-house team of engineers, offeri...",No disponible,No disponible
