indice,fecha_extraccion,titulo_puesto,empresa,ubicacion,url_empleo,modalidad,fecha_publicacion,descripcion_breve,nivel_experiencia,beneficios_ofrecidos
5,2025-06-07,Senior Data Scientist,SHIFTA,Argentina (En remoto),https://www.linkedin.com/jobs/view/4243634242/?eBP=CwEAAAGXSDc9kyWDBAWRP9K6dzlmHjnAfbRB8Z4KtGBW2coOpEFdVco-_o33B4m9IphOXBXV8GR_yGbljlPvzuVXW7paFzhGF_k_MjjELfXmqIHU5HY1PoYIAAZNxICYUZ-xw_BhWQaFOAwJ5PsZlj_ePl1iIW5kboqjWYdFTIqfRPo7rvID3IgT7c64FSbnWiYtVRMWWXdAa568xZSeGOyEfnkUJkFeQpM0MrdWjPHNFVChH_21ksrU82u6h6QY582BIC8I0J1WfaGwDWAesLm9Fd8iaGRXB7f68cvM56Mocs96d_8eWLcbARh9566z0cU33zDXLK1DIaUuZXha-UR1qT7rPqV2qgksDU9XYJwJcMbWzHE7RX4B6l_p_0_69vHzjqZHtlo3GNKqEWeukd1oq2aet3CSHhUlltK-nrZpAMl3MxyVCMHmKjOW5KrLhJ2AJKxe_aCxIvC7svmua-PlOsll8vZCF0yyvCqTm1R-_mauquZBvaDnXCfAnvjyYoNINWff1BD46tk&refId=H5xbive1kCml7Ns6sphdVA%3D%3D&trackingId=70CsqyT9zcqoW6ugVzzWow%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,"We are Shifta!     Somos un Digital Product Studio con el objetivo de innovar, evolucionar y resolver necesidades tecnológicas de negocio. Nuestra Tribu está conformada por +65 Shifters. Nacimos en Ar...",No disponible,No disponible
6,2025-06-07,Científico / Científica de Datos,Mercado Libre,"Provincia de Buenos Aires, Argentina (Híbrido)",https://www.linkedin.com/jobs/view/4225651918/?eBP=CwEAAAGXSDc9k_3el3u3iOAJ-L7uLwhn9acRlZU9keNqW96rDGFThmM6B6FN9t7ffP8BwIah0w5X8DoQahNV2Q7u7hcm1IDZCSDA66kcrPd9zvLDZtsc4f7PR-yCQbUiXuJfeJ6eD8_XajeUIjXa5y5F16inGajFBmqziF8Ta4g97ktAWHxvqd0QI38DIOgo4WrooleSacRVSkDn3TnmfzIu8fyegEvUkyk5H2BIP3jVNCHZVhaHfPnMKceHwfzE6nkSvL6I5lASowADgUVB4QEwj9MTD_BhaSyY4kYEUjGLQBghoYbJBS3w956xAZjOdsZF4gzHLg4jgImuM5FexNFGeZpaZqURX9Hr68Tamj9zM2-g_M2Qs8jEhTr6hFdP0niygX0_IbYI0LqYw7V679DipzsNKerAuCTCYYSLabYrdH-zEGkbShkK0rvTMV6VWdC_-_1cnUzca0OeS2ndVc-wlPGn3SmDNWKfpXyM-lnrAjtoc6fS55QTnygHLk9tUPVxV_n9GYEK8U0&refId=H5xbive1kCml7Ns6sphdVA%3D%3D&trackingId=LbGyVAmdYCnlhLzbgKWY1A%3D%3D&trk=flagship3_search_srp_jobs,Híbrido,No encontrado,"En Mercado Libre, estamos democratizando el comercio, el dinero y los pagos en América Latina. ¡Se parte de este propósito!        Imagínate emprendiendo proyectos desafiantes, dinámicos e innovadores...",No disponible,No disponible
7,2025-06-07,Data Scientist SR,Practia Global,Buenos Aires y alrededores (Híbrido),https://www.linkedin.com/jobs/view/4240284509/?eBP=CwEAAAGXSDc9k_eD7thpHw0mLx16fX8336sPZwz4l9yyYGX1PbLtC_lduniNCYJIZV3oQWTGEqOIDVi5macE1HdWeJug53jJ2Q9zlYgfz5_SaE_zUunEs3m6dn0RNAGMf7zWu_AqjR4qGaZ8jYaFkf0j3ViC19BZSR_RGYlf65XAKwlXJ-9O_3Uxt3j6MOCY8gskmzXxl4KXo08iK2PoIVSpH8KMIwqiN3I58O5FeSgtGelLSfJ6l-lF_ZhniccojQS-2WbcHxW8vX5ktSGm_83XtjBwmRcsh3ToyCewXPVtomGXWvf1hO4EClnyacbNa4qnELuRLypit-4f6yfKpIPUcdpoN1gmE5tz8zrKTQdIvavPG9KdaB1cK42aAdWb0cEjFPz5PgP4tFR_ZtvSSAbFrJ0EyQ8Zrd6jKeSq7cDadHPH7DMEU8Zb1lxe-0u2uL6b4jY3k9Q1YkmeaecnSjBLZM7Dt4eJBzlMDQlxO_YLWanqiR_RA3Z2zWxUMP-QVneneWPNKZi1&refId=H5xbive1kCml7Ns6sphdVA%3D%3D&trackingId=iYBKU6Nwn52t27vZ7RccwA%3D%3D&trk=flagship3_search_srp_jobs,Híbrido,No encontrado,"¿Quiénes somos?  Somos la empresa de tecnología y negocios más prestigiosa de Iberoamérica. Nuestra red regional permite responder rápidamente a la demanda, con especialistas en cada problemática y ap...",No disponible,No disponible
1,2025-06-07,Machine Learning Engineer,Bull Market,Buenos Aires y alrededores (Híbrido),https://www.linkedin.com/jobs/view/4242465201/?eBP=CwEAAAGXSDgaE2CD5Uh-rEBIvdcM6Ssd9FCPoKPYH_wQxuJnxEGQUhmuGcKGdxuMCRjOU6q6XF2ELnx4J_N5wFHhdZNb25EMwtPWNwK187RRjK9jqzHMd47c-U7oBqeIygLBrWQXARSXwkt9kzLR02nUiLaSZDpNCfAHt7JCOZS64qHHmdsyVTklahxPlheddBRNqC6t8Bu09fqAC82nlrHmsjXxCHdY5yZorfIV4zDjNTyw-P7-h8KNZKd5C9xETqQV40i-L5szHzl96FSf10_mudp_focaVRFRs5RoCLJxFlhB56AaCEvBQOdxe6gCcFY_E7ChyFQEgZp2N2hncNm-4JHgmOd7YDQKhqTu4UxJ8UVWGPmEE_WzpnAkGPi__vmH4mIGpOg6c5xdA1-B0zRmXjHBded8dtZ4SO1lb3o_ScSDEujX-uRt6Ogefs69r37ba4gM1rILli4WXliYHHwmzfZe2DNU3PqEJ20QT0AMUNI5Pl3nOv8VjvV3A0kS10gtou6cK81de6hTgLhaB5zRUTxL4KfVuap5S8nc6Q&refId=hwts1nFXfTv3c%2BEHZdoXjw%3D%3D&trackingId=staywlNBebCjjfGp5XOYEg%3D%3D&trk=flagship3_search_srp_jobs,Híbrido,No encontrado,"🔍 ¡Estamos sumando un/a Machine Learning Engineer al equipo de desarrollo de Bull Market Brokers!     Buscamos una persona apasionada por la inteligencia artificial, con sólida experiencia en solucion...",No disponible,No disponible
2,2025-06-07,Data Engineer,Cove Brands,Argentina (En remoto),https://www.linkedin.com/jobs/view/4244979497/?eBP=CwEAAAGXSDgaE_xmuZRLjrNSyaIeVH2Qh4lCrQWpTzF7SCeJpjbAhKYfiBgzLH2SvMgu-L2xvVsQjIUnFyAeHPaomREoHVZXBqQPHdtcsn3WqSa1vwwDjKB2ANjREx9_GA3c7gQcxq-Ufxn5A0IP4LGtaRQODY3gTyulmQNiKyCvtxROAZoeQzAvwmEocBSZR8snfAgzXZ6HKo6RCg_o_Fz68iM_lcaCsQsr1L9yD9zeVM4LCQJcoO6L89MRJcn_uK0xnEXSj0GnY689KCrK11i8Cd2Zo_moXJ9OMEm54_sLeHF1rVWDDn0eW_ewt9QBDzFTQ-v3B3XMyeA4ZncfNAGZdxiZZdj1r6xTKZXxn265e1QSWw3KXbjoq5u9CEU9nGJQb1W9c7SGYwKo2vMrXMoci3585v5isCbPo-9BIl0yF2ztp-OjNhLM2nDQsHxTXyyMW4i0tAmk3O_l5h9C_2YhljtWc6RtVvnX&refId=hwts1nFXfTv3c%2BEHZdoXjw%3D%3D&trackingId=kgvlUq1P%2BiaKbmZzZXVDvg%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,Role Overview  We are looking for a versatile and motivated Data Engineer with a passion for AI-driven innovation to lay the groundwork for our company-wide data infrastructure. This is a foundational...,No disponible,No disponible
3,2025-06-07,Python Developer SSR,SHIFTA,Argentina (En remoto),https://www.linkedin.com/jobs/view/4240469682/?eBP=CwEAAAGXSDgaE8TNTispUJjeAgTdyv6RH7X0cMrHuD8RZjQfM_kSEPLpV-VMlgBqh44nbOCF-o-EsLRXjQOYn780UDqfXuoM8lGQKKtMcZpqmtT6pI2OY658q4FFd6r45qz-3Ni9GUDorNCsOVwzbNnOUJ7CFA011esYntM_GouUA15BZZNxIWk5azavYdhkiDGfpUSjonICuLC6qnlT63DmWMaKg2P1Leg4D1i2FAWxua_F7d9eRxgqWAI1PTHAxzniRUx3RuN56xIJC5bEvx1C044cj76l2o0Ysfp7DsOuuBiG0hFaJCbuDiT9XD1mf_I1UIK5P_9bjpqqCNnH1d4mTljxO_IXHW3-5ntVm4Cf_4xSwksVZicIVlHcTVIaz2HaghECNsDu5jKKQuQjBAqF_StN1JzFT1JRLW_ZWgd46treCyNbn9tFnsjbNwHLdvAoUAdyI-uHe5y-v6QBKMw4sDdSYpWz7EhosP7kYD1ZgYDny3JmLiamQ7qC5eEx5rxs8z3ayxjVnHc&refId=hwts1nFXfTv3c%2BEHZdoXjw%3D%3D&trackingId=rt%2BqcAyI4%2BjMsb4ospU2Zg%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,"Python Developer SSR     We are Shifta!  Somos un Digital Product Studio con el objetivo de innovar, evolucionar y resolver necesidades tecnológicas de negocio. Nuestra Tribu está conformada por +65 S...",No disponible,No disponible
4,2025-06-07,"Artificial Intelligence Engineer, IgniteTech (Remote) - $100,000/year USD",Trilogy,Buenos Aires y alrededores (En remoto),https://www.linkedin.com/jobs/view/4244027051/?eBP=CwEAAAGXSDgaE0BRojveYKzCiHG186wJEuKXi6_dNlae0m1go0iMrq_vEBEI2s2xi9yHIuP56sFcol-rrrKCgCCQIcsYmUuxvDTBlFhDm29FnEIADjtCw9N9Abb7w0T6kDM2NXfpSi74Dt8FTXrhKV6hdk_QhaL3IVaY1-mH0gqKRCGdcblY0mdcChy-ZVEKYHQsza40-QBilKFKRiwp-8JPXZMkbEdGm3WcQYXw-Uf7yOEyqTZ7CvWpmiAePdCtuhBjqeuX4c7QSNZpLuMYq0x530uOc2k5Q5PaFTsb41Ec2-PumpqNjXDFaoITpRLH9eqbkOLQ0ZwFTKxMKu2hjO5D9ffSElqCVcvshibWujkFcERV3YLx0uCwGfCkyRzcPevqAIzB3FbSZawNOtA1OQyDZw8Cgo6i-sSWeKb1hgAYkStksOvfFnNVCLT0vFr4TgC2hAexfl8mCqN48mFdWRMFSg_9Z1ZDoFJQj-2wLDzLdtqXal-7_DWtJiGgBRUgeuTgTR_s32bTb0BMHw&refId=hwts1nFXfTv3c%2BEHZdoXjw%3D%3D&trackingId=U7zxZwSc2V6C0VER1L8TUQ%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,"Are you ready to revolutionize software development with the power of AI? At IgniteTech, we're not just adapting to the future; we're creating it. Join us to lead groundbreaking AI-driven initiatives ...",No disponible,No disponible
5,2025-06-07,Ingeniero de datos,Scanntech Uruguay,Argentina (En remoto),https://www.linkedin.com/jobs/view/4245960468/?eBP=CwEAAAGXSDgaEx01XCj_Pxhqr3kYFKih-Cq_SRJBR4tedBp5mzV67eWnQl6DavFSQc9w_rnPO7YcYNQRa5r7b0qjp5ERTtzlF7oOubfu91c957c5Ju24L3I1YvJfopLABWs0DrFGsRjEgot3kQk18XndE5vpJODMeNOgdR9HgwAPqkajiCcJCWLGilSkNYiDVVHOrVN1duPgbu32a4r4b8ftYgKqkJPhmF-Ctn_attjQ-p-T0ROLV45lyVnVOT5VP81GB1j3PEYddVMOHGHgEyLJJX6NNDSDKp22Au2v1e5YYVLKDuE42JbuQ-BZsMFLHPNGYE-EGwQCAKYHQ_hrz6lHHD68tX-cO0E7wtOOL7bkgdrD2DeOkTMUT3Wz_Lu0TqHXOOwjRwJPUtANFvGHj2nulOWKfRC1xIZ2jDofEk1FSXUe_VC97WOhm4vRJGLciIiluy80zNwU7DhFap6vAGi50KiwlFJgay0Pv1IL8cDwl-Tl9tWbQIuEOmDewcloUL3Skhwl-oPpyJwbUg&refId=hwts1nFXfTv3c%2BEHZdoXjw%3D%3D&trackingId=b%2FptNcLAsmO0jijLgnCxIQ%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,¡En Scanntech nos encontramos en búsqueda de Ingeniero de datos para sumarse al equipo de Big Data!     Nos encontramos en búsqueda de ingenieros de datos con al menos 4 años de experiencia para unirs...,No disponible,No disponible
6,2025-06-07,Machine Learning & AI Engineer,Alabama Solutions,Argentina (En remoto),https://www.linkedin.com/jobs/view/4230949611/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=hwts1nFXfTv3c%2BEHZdoXjw%3D%3D&trackingId=YfeRlwwT7EmbZBMeE43ecg%3D%3D&trk=flagship3_search_srp_jobs,Remoto,2025-04-20,No disponible,No disponible,No disponible
7,2025-06-07,AI Engineer,CRAFTLabs,Argentina (En remoto),https://www.linkedin.com/jobs/view/4229122142/?eBP=CwEAAAGXSDgaEyYc-pL26AVkwgAoG_mnXe_apGmQtpdSMl8J-r7eP_8NWx2rB0WL5Qxn1twShSf2ihIseD2OR6YjeArVWjW3sMsEL2p_Yi8SXhTPrS_j82uEF3QfZciL1zdUaJb89-t0GE15Pt0VPUOUruUc_ZPLXLt8WkJWnuFPEkPeEllFJ6-4ffH1SD0AuuTJnpPw7fBRyXH94ucRQo1wiQxlUCL-VFEnGDc_TxG4FNQxZyNel5P6VfXV2J7aUzPqhvfq1qtrLFwNwfjOiZHoVfA_D-ILADO3EZnIdwh-2qKn2PT_ovhA5LZazkBMwnssRR88OXcOtwh0_NyqRXkpYlu8WTX25vv7xHxAsaPv4o98WaWAvMu-41FTl59nuO0mLkXNBTqSbjzpAFJBYgAL6WV21AH7Kcfw0ifZy4DdnHkviJ21ikw6mt6HnfvxshZqAdx5wYziMQ1ihxFg0aOkGeTFjM8pbHZDhYCAVwNhhcErgrDJI5-vNUCCr99HHEx-gdBqPDJsuz_GxHqF&refId=hwts1nFXfTv3c%2BEHZdoXjw%3D%3D&trackingId=57JqQayymySKUTGa9AQTBA%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,No disponible,No disponible,No disponible
