modalidad_limpia,ubicacion,cantidad_empleos,empresas_unicas
Remoto,América Latina (En remoto),20,8
Remoto,Argentina (En remoto),8,7
Remoto,Buenos Aires y alrededores (En remoto),4,3
No Encontrado,Randstad Argentina,2,1
Presencial,Buenos Aires y alrededores (Presencial),2,2
Híbrido,Buenos Aires y alrededores (Híbrido),1,1
Híbrido,"La Tablada, Provincia de Buenos Aires, Argentina (Híbrido)",1,1
Híbrido,"Provincia de Buenos Aires, Argentina (Híbrido)",1,1
